,VIX,DXY,VIX_ret,DXY_ret,rolling_corr,rolling_corr_mean,rolling_corr_std,corr_z_score
2012-11-15,34.66666666666667,81.078,-0.06810035842293904,0.00027141729174906537,0.03759686959705482,,,
2012-11-16,34.666666666666664,81.257,-2.220446049250313e-16,0.0022077505611879378,0.02977928341492017,,,
2012-11-19,31.06666666666667,80.874,-0.1038461538461537,-0.004713440072855346,0.042550606429935835,,,
2012-11-20,24.26666666666667,80.957,-0.2188841201716738,0.0010262878057225588,0.03994968615449083,,,
2012-11-21,19.733333333333334,80.932,-0.18681318681318682,-0.0003088059093098172,0.037024012243730905,,,
2012-11-22,20.666666666666668,80.699,0.04729729729729737,-0.002878960114664264,0.030108268543200947,,,
2012-11-23,20.666666666666664,80.192,-2.220446049250313e-16,-0.006282605732413127,0.03686336979081449,,,
2012-11-26,17.466666666666665,80.251,-0.1548387096774193,0.0007357342378293552,0.033573484035582316,,,
2012-11-27,22.0,80.402,0.25954198473282464,0.0018815964910094962,0.04261746833665958,,,
2012-11-28,23.333333333333336,80.336,0.060606060606060774,-0.0008208751026094196,0.041621104650406394,,,
2012-11-29,25.333333333333332,80.204,0.08571428571428563,-0.001643098984266178,0.03693525260274228,,,
2012-11-30,20.666666666666664,80.153,-0.1842105263157895,-0.0006358785097998476,-0.034229904141597656,,,
2012-12-03,21.333333333333336,79.882,0.032258064516129226,-0.0033810337729093254,-0.032107225588053234,,,
2012-12-04,23.066666666666666,79.644,0.08124999999999982,-0.002979394607045438,-0.02256871209667906,,,
2012-12-05,29.599999999999994,79.774,0.28323699421965287,0.0016322635728993617,-0.009751899215001646,,,
2012-12-06,27.200000000000006,80.258,-0.0810810810810807,0.0060671396695664015,-0.06834908561268584,,,
2012-12-07,28.133333333333333,80.408,0.034313725490195734,0.0018689725634828402,-0.10514426259229138,,,
2012-12-10,23.333333333333336,80.328,-0.1706161137440757,-0.0009949258780220793,-0.08714019656099246,,,
2012-12-11,22.400000000000002,80.061,-0.040000000000000036,-0.0033238721242903058,-0.08390012097491353,,,
2012-12-12,16.8,79.815,-0.25,-0.003072657098962206,-0.05921434550178576,,,
2012-12-13,14.26666666666667,79.928,-0.1507936507936507,0.0014157739773226208,-0.060280075716100036,,,
2012-12-14,14.8,79.58,0.03738317757009324,-0.004353918526673994,-0.0561460407546288,,,
2012-12-17,16.666666666666668,79.568,0.12612612612612617,-0.0001507916561950262,-0.052080403001661286,,,
2012-12-18,14.933333333333334,79.359,-0.10400000000000009,-0.002626684094108267,-0.04508463380558745,,,
2012-12-19,12.4,79.269,-0.1696428571428571,-0.0011340868710542074,-0.0628892030443594,,,
2012-12-20,20.53333333333333,79.261,0.6559139784946235,-0.00010092217638690837,-0.02839295571656139,,,
2012-12-21,23.999999999999996,79.617,0.16883116883116878,0.004491490140170029,0.029620832509947206,,,
2012-12-24,33.86666666666667,79.642,0.4111111111111114,0.0003140032907544832,0.035651575695906323,,,
2012-12-25,33.6,79.67,-0.007874015748031482,0.0003515732904748603,0.035818336656887446,,,
2012-12-26,32.266666666666666,79.621,-0.039682539682539764,-0.0006150370277394623,0.04138025406997883,,,
2012-12-27,33.06666666666667,79.62,0.024793388429752206,-1.255950063416833e-05,0.027951824876447474,,,
2012-12-28,36.13333333333334,79.678,0.092741935483871,0.0007284601858827955,0.027352166346887894,,,
2012-12-31,38.53333333333334,79.769,0.06642066420664205,0.0011420969401843006,0.04477038044090195,,,
2013-01-01,32.266666666666666,79.736,-0.1626297577854673,-0.0004136945429928929,-0.013240593576450424,,,
2013-01-02,33.2,79.845,0.02892561983471076,0.001367011136751195,-0.01069154453353527,,,
2013-01-03,19.73333333333333,80.382,-0.4056224899598395,0.006725530715761874,-0.08210936985337797,,,
2013-01-04,12.399999999999997,80.499,-0.3716216216216217,0.0014555497499439962,-0.0992698915416091,,,
2013-01-07,14.8,80.256,0.19354838709677447,-0.003018671039391685,-0.11247227817574487,,,
2013-01-08,11.333333333333332,80.345,-0.2342342342342344,0.0011089513556619135,-0.13692105846763444,,,
2013-01-09,12.266666666666667,80.557,0.08235294117647074,0.002638620947165382,-0.16086008287963527,,,
2013-01-10,13.2,79.738,0.07608695652173902,-0.010166714252020315,-0.12777371531911627,,,
2013-01-11,7.866666666666665,79.563,-0.4040404040404041,-0.002194687601896228,-0.09228421266197459,,,
2013-01-14,11.333333333333332,79.488,0.4406779661016951,-0.0009426492213717719,-0.1273506981590659,,,
2013-01-15,12.266666666666667,79.779,0.08235294117647074,0.003660929951690761,-0.1048658026274586,,,
2013-01-16,17.333333333333332,79.804,0.4130434782608694,0.00031336567267081783,-0.09242903454447768,,,
2013-01-17,25.333333333333336,79.649,0.4615384615384617,-0.0019422585334069042,-0.10973836536816048,,,
2013-01-18,19.066666666666666,80.036,-0.24736842105263168,0.004858818064257031,-0.13915466817343816,,,
2013-01-21,18.4,80.036,-0.034965034965035,0.0,-0.14783355897117084,,,
2013-01-22,18.266666666666666,79.874,-0.007246376811594124,-0.002024089159878173,-0.14476589819529467,,,
2013-01-23,26.133333333333336,79.92,0.4306569343065696,0.0005759070536095479,-0.13449429026746412,,,
2013-01-24,30.26666666666667,79.949,0.15816326530612246,0.0003628628628629116,-0.13720826248540682,,,
2013-01-25,18.93333333333333,79.748,-0.3744493392070486,-0.002514102740497015,-0.06071778549921721,,,
2013-01-28,17.866666666666667,79.78,-0.0563380281690139,0.00040126398154183285,-0.0613303657288051,,,
2013-01-29,21.066666666666666,79.564,0.17910447761194015,-0.0027074454750565247,-0.06447273816710195,,,
2013-01-30,20.53333333333333,79.281,-0.025316455696202556,-0.003556885023377254,-0.04944973961786854,,,
2013-01-31,24.4,79.207,0.18831168831168843,-0.0009333888321289008,-0.061596597967011266,,,
2013-02-01,22.53333333333333,79.125,-0.07650273224043713,-0.0010352620349211028,-0.06894031392215634,,,
2013-02-04,17.333333333333336,79.554,-0.23076923076923062,0.005421800947867261,-0.1037466353275618,,,
2013-02-05,24.0,79.488,0.38461538461538436,-0.0008296251602685212,-0.1029800178696217,,,
2013-02-06,25.066666666666666,79.721,0.04444444444444451,0.0029312600644122444,-0.09966652804508198,,,
2013-02-07,24.266666666666666,80.192,-0.03191489361702127,0.005908104514494195,-0.10279713528013416,,,
2013-02-08,26.0,80.246,0.0714285714285714,0.0006733838786912028,-0.1009686100494627,,,
2013-02-11,30.8,80.31,0.18461538461538463,0.0007975475413104505,-0.11329848607432508,,,
2013-02-12,30.53333333333333,80.106,-0.008658008658008698,-0.0025401568920434547,-0.10451334169788974,,,
2013-02-13,30.0,80.091,-0.017467248908296873,-0.00018725189124413344,-0.10605835858733616,,,
2013-02-14,31.2,80.458,0.040000000000000036,0.004582287647800776,-0.10236419017260211,,,
2013-02-15,36.8,80.58,0.17948717948717952,0.0015163190733054055,-0.10529843364909902,,,
